QuestionBodyAnswerMatch,QuestionTitleAnswerMatch,QuestionUserTagMatch,QuestionBodyKeyWords,QuestionTitleKeyWords,NumQuestionTags,AnswerKeyWords,NumUserTags,QuestionCommentCount,QuestionScore,AnswerCommentCount,NumberOfBadges,NumberOfCommentsMade,NumberOfAnswers,CodedAnswers,Reputation,UpVotes,DownVotes,ProfileViews,HasWebsite,UsefulOrAccepted
104,5,4,271,6,2,176,8,0,2,1,2,3,4,4,46,0,0,5,0,1
31,1,3,50,4,2,62,13,0,8,0,2,1,17,4,162,0,0,30,0,1
39,6,3,54,8,3,51,6,0,1,1,2,5,6,6,71,20,0,20,0,1
228,1,6862,192,8,5,312,11704,0,1,3,256,16322,4118,4104,102181,5878,3662,29182,0,1
158,1,6695,221,6,5,195,11704,3,0,3,256,16322,4118,4104,102181,5878,3662,29182,0,1
85,14,5579,336,17,2,111,11704,1,1,1,256,16322,4118,4104,102181,5878,3662,29182,0,1
233,3,54,245,4,3,268,2459,1,0,6,258,7065,913,785,48629,5756,4263,6083,0,1
49,0,96,487,4,2,51,2459,1,1,4,258,7065,913,785,48629,5756,4263,6083,0,1
285,6,61,506,5,5,368,2459,8,3,6,258,7065,913,785,48629,5756,4263,6083,0,1
493,0,1256,1372,5,4,519,2608,5,3,4,256,3023,1057,1057,51572,6304,2151,8945,0,1
353,3,1067,526,6,2,436,2608,0,2,0,256,3023,1057,1057,51572,6304,2151,8945,0,1
11,2,859,48,3,5,48,3279,5,0,0,768,7889,1307,837,70265,5168,934,10748,0,1
98,7,2654,43,4,1,258,8844,1,3,1,257,8021,3744,3689,104567,1951,2049,13024,0,1
50,0,4989,296,5,2,61,8844,0,0,0,257,8021,3744,3689,104567,1951,2049,13024,0,1
38,4,2,32,3,2,113,347,2,0,0,257,372,171,124,10334,1335,59,1789,0,1
43,3,2506,213,6,2,62,7513,0,0,0,514,12342,3059,2476,139948,2220,1127,19493,0,1
51,0,1007,51,3,1,75,3486,0,1,0,258,8949,1781,1720,67861,2374,666,5719,0,1
69,10,2229,2316,5,4,93,5818,3,0,0,257,16639,3903,3573,93433,2628,532,8340,0,1
169,38,2192,84,8,2,377,5818,0,2,0,257,16639,3903,3573,93433,2628,532,8340,0,1
130,0,2446,328,7,2,247,5818,0,0,3,257,16639,3903,3573,93433,2628,532,8340,0,1
34,5,0,69,6,2,94,2,4,4,0,3,2,1,0,13,0,0,2,1,1
134,5,3,163,6,2,181,6,1,2,0,2,1,2,1,106,4,0,18,1,1
13,1,1,168,9,1,44,7,2,3,0,2,1,6,1,69,11,0,51,1,1
127,4,0,624,6,4,187,4,0,0,0,3,3,1,1,11,0,0,3,1,1
31,2,5,87,5,5,128,10,2,2,0,3,2,2,1,41,0,0,1,1,1
39,2,3554,321,3,2,54,13846,8,1,1,513,19290,6061,5127,169529,18083,4398,19274,1,1
10,0,282,52,4,3,36,4195,1,0,1,258,1833,1768,1039,61460,1101,40,4678,1,1
37,1,62,126,5,4,103,172,0,6,5,258,654,74,53,13349,532,56,695,1,1
7,1,3,16,7,2,32,859,3,0,0,258,831,453,92,17828,2014,270,2308,1,1
116,23,19,201,8,3,294,859,2,0,1,258,831,453,92,17828,2014,270,2308,1,1
20,1,369,172,4,1,36,1021,0,0,5,257,421,476,352,40251,1486,148,6147,1,1
78,0,35,116,5,3,81,219,0,0,0,256,414,139,107,6449,2400,163,1332,1,1
212,13,31,380,8,2,341,299,4,8,0,514,556,132,110,34636,6835,36,2172,1,1
147,11,422,77,7,4,267,4347,1,9,5,258,4705,1905,1392,72957,2733,212,4110,1,1
30,10,41,49,10,5,77,1612,0,1,0,257,1381,856,638,36417,2346,72,2712,1,1
120,0,135,118,6,1,154,1307,0,0,0,258,1115,518,426,49111,594,173,3489,1,1
36,0,36,135,4,4,97,1318,3,17,5,256,610,545,431,36953,1407,6,5243,1,1
179,6,106,413,9,4,241,1318,0,1,2,256,610,545,431,36953,1407,6,5243,1,1
50,24,423,72,5,3,95,2693,2,5,0,257,1953,1210,959,49406,2965,360,3923,1,1
204,4,380,328,6,4,259,2693,0,5,3,257,1953,1210,959,49406,2965,360,3923,1,1
11,1,148,110,9,3,20,2607,0,1,0,258,1574,1333,979,47893,1618,96,3033,1,1
85,1,17,133,4,1,116,7856,0,27,4,769,12068,3068,2780,193884,10367,256,16855,1,1
141,7,2138,104,5,3,273,7856,0,1,0,769,12068,3068,2780,193884,10367,256,16855,1,1
71,1,686,67,5,2,126,1819,0,10,0,257,1778,836,767,80490,955,104,7068,1,1
50,0,0,188,5,3,82,3,0,11,6,1,2,1,0,46,0,0,4,0,1
47,7,0,200,5,5,74,5,2,4,0,1,1,1,0,11,0,0,2,0,1
9,2,0,51,7,2,20,2,3,1,0,1,1,2,0,26,0,0,2,0,1
11,1,6,157,6,4,24,7,2,0,2,1,2,3,0,61,0,0,8,0,1
29,2,5,196,7,2,54,22,0,0,0,1,1,15,0,161,0,0,4,0,1
46,5,0,65,7,5,89,5,0,1,0,2,1,1,0,46,0,0,11,0,1
54,6,0,106,4,5,105,5,0,7,2,2,1,1,0,181,0,0,12,0,1
21,0,0,90,7,1,31,1,0,7,2,3,3,1,0,34,0,0,3,0,1
22,5,0,33,4,1,49,1,1,1,2,3,1,1,0,36,10,0,2,0,1
25,6,0,86,5,2,39,2,0,2,0,3,4,1,0,11,0,0,0,0,1
23,1,0,96,7,4,53,4,1,3,4,3,2,1,0,23,1,0,1,0,1
18,4,0,87,6,3,46,3,2,0,0,3,4,2,0,15,1,0,10,0,1
19,3,0,36,7,3,80,3,4,0,0,3,4,2,0,18,0,0,0,0,1
24,2,0,110,9,2,36,2,0,0,0,1,3,1,1,11,0,0,0,0,1
270,2,0,1288,5,5,315,5,3,11,2,1,1,1,1,11,0,0,18,0,1
93,16,0,120,12,5,141,5,0,7,3,1,1,1,1,21,0,0,2,0,1
69,2,0,235,5,3,131,3,0,3,3,1,1,1,1,36,0,0,8,0,1
23,1,0,742,7,3,38,3,9,0,2,1,2,2,1,11,0,0,0,0,1
39,13,6,377,17,5,94,9,2,0,1,1,1,3,1,46,0,0,6,0,1
59,34,0,182,13,4,76,4,2,8,0,2,3,1,1,11,0,0,11,0,1
45,1,0,230,9,3,64,3,7,5,0,2,2,1,1,18,0,0,3,0,1
65,6,0,762,15,2,79,2,6,10,0,2,2,1,1,21,1,0,1,0,1
86,19,0,476,11,4,128,4,4,48,2,2,1,1,1,31,5,0,4,0,1
27,3,0,69,10,2,41,2,2,1,4,2,2,1,1,21,0,0,0,0,1
40,1,6,201,5,4,70,7,2,1,0,2,1,2,1,61,0,0,4,0,1
195,16,0,313,4,3,239,3,0,1,2,2,2,2,1,96,0,0,16,0,1
55,4,5,88,9,4,89,9,0,0,1,2,1,2,1,46,73,0,7,0,1
46,1,0,203,6,3,51,3,0,0,3,2,1,4,1,28,7,0,7,0,1
52,0,0,685,4,4,80,4,2,2,0,2,1,4,1,46,0,0,3,0,1
244,7,3,301,5,3,320,9,0,8,4,2,1,5,1,101,10,0,20,0,1
65,1,4,214,5,1,98,9,0,0,1,2,1,9,1,131,0,0,27,0,1
17,1,8,81,5,5,63,13,1,2,1,2,1,12,1,71,5,0,9,0,1
45,12,0,576,12,4,75,4,2,0,1,3,1,1,1,18,0,0,2,0,1
24,1,0,132,4,3,37,3,0,1,1,3,3,1,1,51,1,0,8,0,1
385,1,0,3062,8,2,475,2,9,2,1,3,2,1,1,46,4,0,12,0,1
36,1,0,180,9,4,65,4,0,2,1,3,4,1,1,13,0,0,3,0,1
30,0,0,93,6,4,41,4,3,2,1,3,1,1,1,111,4,0,5,0,1
6,0,3,39,5,3,11,6,0,0,1,1,6,4,2,36,0,0,3,0,1
24,2,6,245,11,5,35,9,0,3,1,1,4,7,2,51,0,0,16,0,1
179,6,0,529,4,4,194,4,0,3,0,2,3,2,2,11,0,0,3,0,1
62,3,2,98,4,2,156,4,1,0,1,2,1,2,2,66,0,0,3,0,1
104,8,6,509,10,5,150,8,0,0,0,2,1,3,2,51,0,0,0,0,1
49,14,2,154,12,2,148,6,0,3,0,2,4,4,2,96,11,0,7,0,1
171,8,4,172,5,3,298,8,0,3,0,3,1,2,2,66,2,0,5,0,1
72,2,7,124,14,5,112,8,6,0,4,3,2,2,2,44,17,0,7,0,1
246,4,0,387,8,4,292,4,0,0,0,3,5,2,2,16,0,0,4,0,1
53,7,5,273,11,4,91,6,1,1,4,3,2,2,2,36,0,0,3,0,1
45,0,5,145,6,3,71,8,2,6,0,1,1,3,3,86,0,0,1,0,1
23,1,6,118,6,5,56,13,0,1,0,1,2,7,3,81,0,0,12,0,1
66,2,3,35,6,2,173,3,0,3,0,2,1,4,3,38,0,0,4,0,1
55,8,2,54,6,2,94,10,4,0,2,2,4,4,3,61,38,0,23,0,1
57,5,0,1529,5,4,64,4,0,0,3,2,1,4,3,11,0,0,9,0,1
144,1,3,297,3,3,173,7,4,0,0,2,1,5,3,66,0,0,2,0,1
8,0,9,175,8,4,14,18,0,1,3,2,3,6,3,136,0,0,8,0,1
43,3,3,115,8,3,94,9,2,3,1,2,4,10,3,91,2,0,9,0,1
70,31,3,310,10,1,103,10,1,1,0,1,4,5,4,116,0,0,6,0,1
104,5,4,271,6,2,176,8,0,2,1,2,3,4,4,46,0,0,5,0,1
31,1,3,50,4,2,62,13,0,8,0,2,1,17,4,162,0,0,30,0,1
39,6,3,54,8,3,51,6,0,1,1,2,5,6,6,71,20,0,20,0,1
228,1,6862,192,8,5,312,11704,0,1,3,256,16322,4118,4104,102181,5878,3662,29182,0,1
158,1,6695,221,6,5,195,11704,3,0,3,256,16322,4118,4104,102181,5878,3662,29182,0,1
85,14,5579,336,17,2,111,11704,1,1,1,256,16322,4118,4104,102181,5878,3662,29182,0,1
233,3,54,245,4,3,268,2459,1,0,6,258,7065,913,785,48629,5756,4263,6083,0,1
49,0,96,487,4,2,51,2459,1,1,4,258,7065,913,785,48629,5756,4263,6083,0,1
285,6,61,506,5,5,368,2459,8,3,6,258,7065,913,785,48629,5756,4263,6083,0,1
493,0,1256,1372,5,4,519,2608,5,3,4,256,3023,1057,1057,51572,6304,2151,8945,0,1
353,3,1067,526,6,2,436,2608,0,2,0,256,3023,1057,1057,51572,6304,2151,8945,0,1
11,2,859,48,3,5,48,3279,5,0,0,768,7889,1307,837,70265,5168,934,10748,0,1
98,7,2654,43,4,1,258,8844,1,3,1,257,8021,3744,3689,104567,1951,2049,13024,0,1
50,0,4989,296,5,2,61,8844,0,0,0,257,8021,3744,3689,104567,1951,2049,13024,0,1
38,4,2,32,3,2,113,347,2,0,0,257,372,171,124,10334,1335,59,1789,0,1
43,3,2506,213,6,2,62,7513,0,0,0,514,12342,3059,2476,139948,2220,1127,19493,0,1
51,0,1007,51,3,1,75,3486,0,1,0,258,8949,1781,1720,67861,2374,666,5719,0,1
69,10,2229,2316,5,4,93,5818,3,0,0,257,16639,3903,3573,93433,2628,532,8340,0,1
169,38,2192,84,8,2,377,5818,0,2,0,257,16639,3903,3573,93433,2628,532,8340,0,1
130,0,2446,328,7,2,247,5818,0,0,3,257,16639,3903,3573,93433,2628,532,8340,0,1
34,5,0,69,6,2,94,2,4,4,0,3,2,1,0,13,0,0,2,1,1
134,5,3,163,6,2,181,6,1,2,0,2,1,2,1,106,4,0,18,1,1
13,1,1,168,9,1,44,7,2,3,0,2,1,6,1,69,11,0,51,1,1
127,4,0,624,6,4,187,4,0,0,0,3,3,1,1,11,0,0,3,1,1
31,2,5,87,5,5,128,10,2,2,0,3,2,2,1,41,0,0,1,1,1
39,2,3554,321,3,2,54,13846,8,1,1,513,19290,6061,5127,169529,18083,4398,19274,1,1
10,0,282,52,4,3,36,4195,1,0,1,258,1833,1768,1039,61460,1101,40,4678,1,1
37,1,62,126,5,4,103,172,0,6,5,258,654,74,53,13349,532,56,695,1,1
7,1,3,16,7,2,32,859,3,0,0,258,831,453,92,17828,2014,270,2308,1,1
116,23,19,201,8,3,294,859,2,0,1,258,831,453,92,17828,2014,270,2308,1,1
20,1,369,172,4,1,36,1021,0,0,5,257,421,476,352,40251,1486,148,6147,1,1
78,0,35,116,5,3,81,219,0,0,0,256,414,139,107,6449,2400,163,1332,1,1
212,13,31,380,8,2,341,299,4,8,0,514,556,132,110,34636,6835,36,2172,1,1
147,11,422,77,7,4,267,4347,1,9,5,258,4705,1905,1392,72957,2733,212,4110,1,1
30,10,41,49,10,5,77,1612,0,1,0,257,1381,856,638,36417,2346,72,2712,1,1
120,0,135,118,6,1,154,1307,0,0,0,258,1115,518,426,49111,594,173,3489,1,1
36,0,36,135,4,4,97,1318,3,17,5,256,610,545,431,36953,1407,6,5243,1,1
179,6,106,413,9,4,241,1318,0,1,2,256,610,545,431,36953,1407,6,5243,1,1
50,24,423,72,5,3,95,2693,2,5,0,257,1953,1210,959,49406,2965,360,3923,1,1
204,4,380,328,6,4,259,2693,0,5,3,257,1953,1210,959,49406,2965,360,3923,1,1
11,1,148,110,9,3,20,2607,0,1,0,258,1574,1333,979,47893,1618,96,3033,1,1
85,1,17,133,4,1,116,7856,0,27,4,769,12068,3068,2780,193884,10367,256,16855,1,1
141,7,2138,104,5,3,273,7856,0,1,0,769,12068,3068,2780,193884,10367,256,16855,1,1
71,1,686,67,5,2,126,1819,0,10,0,257,1778,836,767,80490,955,104,7068,1,1
16,1,19,42,4,2,35,68,0,0,0,26,49,54,52,671,92,16,57,0,0
26,2,0,158,9,3,66,6,0,0,0,2,1,6,0,29,2,0,9,0,0
76,4,1,70,6,2,213,25,1,0,0,51,197,28,21,672,202,10,127,0,0
224,7,31,214,5,3,312,98,5,0,0,35,58,117,80,1678,40,1,226,0,0
34,3,35,161,7,2,54,72,2,0,0,10,51,64,61,720,4,17,78,0,0
24,2,9,52,9,1,48,28,1,0,0,7,69,24,3,246,5,4,91,0,0
119,4,0,45,6,1,299,8,2,21,0,12,11,7,4,170,152,1,21,0,0
13,2,5,38,6,4,16,56,2,0,0,15,57,62,56,469,5,1,82,0,0
18,2,51,68,3,2,36,192,1,6,0,68,127,111,37,4283,240,3,198,0,0
128,8,683,89,6,2,331,1392,0,1,0,83,866,731,706,17219,847,64,838,0,0
68,0,1,535,7,4,76,22,2,1,0,32,50,16,13,916,53,2,161,0,0
63,17,0,111,11,2,138,46,1,837,0,30,13,24,8,2207,75,0,137,0,0
30,0,0,80,4,2,31,9,3,6,0,3,6,9,7,47,45,0,14,0,0
75,0,12,693,4,2,131,801,3,1,0,78,1819,332,266,10303,655,227,1417,0,0
22,1,37,95,8,3,37,100,0,0,0,42,95,67,49,1470,49,9,300,0,0
10,1,35,290,5,2,21,114,1,0,0,22,109,150,19,851,15,11,168,0,0
14,0,58,58,9,2,53,362,1,0,0,25,175,201,192,3963,22,51,130,0,0
20,0,0,226,5,5,28,3,1,1,0,4,4,3,2,28,0,0,12,0,0
30,8,1,376,13,5,39,8,3,0,0,20,31,4,3,307,18,0,34,0,0
26,1,49,92,4,2,67,288,2,8,0,56,1309,132,92,3316,1149,150,977,0,0
19,2,0,40,7,3,40,6,6,0,0,2,2,5,4,82,1,0,7,0,0
52,0,36,80,3,2,72,227,2,16,1,54,118,139,80,6408,374,14,366,0,0
182,4,588,336,6,4,225,1794,2,3,1,205,1836,715,661,26479,2103,4340,5358,0,0
24,2,8,58,4,2,39,18,2,1,1,12,5,17,12,159,8,2,28,0,0
41,1,5,204,3,3,46,8,1,3,1,6,5,8,6,160,74,0,12,0,0
66,30,328,44,9,4,150,1161,2,4,1,212,329,573,262,37622,1440,112,2126,0,0
6,0,17,111,7,3,10,98,2,2,1,26,110,69,23,965,81,15,91,0,0
46,3,1,262,12,2,77,7,3,12,1,3,2,7,0,40,0,0,20,0,0
12,1,1,332,5,3,15,6,1,7,1,15,23,6,1,86,4,0,77,0,0
69,0,7,184,6,3,77,13,0,5,1,13,44,25,19,270,26,1,36,0,0
84,2,2,66,6,1,110,671,0,4,1,198,435,306,247,16888,2446,636,2675,0,0
67,0,1,68,4,2,109,6,0,0,2,10,39,5,5,78,42,0,32,0,0
50,2,2,397,7,5,63,16,4,0,2,4,5,9,4,99,2,0,12,0,0
64,4,1,163,12,1,78,11,4,0,2,2,5,8,4,70,2,0,11,0,0
57,4,354,121,8,2,89,1162,1,0,2,36,683,763,756,12219,337,445,735,0,0
22,1,0,137,5,4,24,5,3,341,2,9,13,4,3,20,3,0,9,0,0
190,2,6,129,4,2,202,153,1,0,2,73,526,80,64,2486,1149,24,361,0,0
106,2,3,216,3,3,137,15,6,2,2,33,58,10,7,404,196,61,156,0,0
37,0,0,35,9,3,133,5,0,132,2,5,1,6,1,16,0,0,39,0,0
61,2,61,151,7,5,74,812,0,51,2,142,521,404,317,13819,1564,8,916,0,0
103,3,12,84,6,2,165,47,5,0,3,12,85,46,42,595,39,12,62,0,0
59,0,0,287,9,5,104,4,0,0,3,6,1,2,1,194,1,0,3,0,0
54,0,3,165,4,5,88,7,0,1,3,3,1,8,6,17,6,0,3,0,0
9,1,72,81,5,4,16,283,3,12,3,74,291,223,99,4968,555,16,895,0,0
30,1,44,72,3,1,37,131,3,0,3,56,287,99,75,3580,33,0,383,0,0
184,1,0,959,4,2,210,17,0,1,3,7,6,8,1,191,10,0,13,0,0
154,16,9,357,13,4,181,54,2,1,3,30,146,56,38,875,27,8,106,0,0
94,3,0,67,5,3,179,13,2,1,3,27,53,22,19,613,89,4,78,0,0
100,3,21,144,7,4,134,50,2,1,4,10,83,71,60,446,10,1,58,0,0
60,9,11,276,5,2,71,43,7,24,4,23,20,22,17,774,33,0,54,0,0
207,15,2,529,11,3,261,20,0,0,4,15,18,24,16,337,22,2,42,0,0
13,1,5,124,6,2,25,16,1,0,4,6,12,18,5,101,8,0,15,0,0
12,1,0,53,6,5,34,13,2,20,4,5,1,11,5,168,5,0,50,0,0
18,1,24,81,12,3,31,181,36,1930,5,96,238,176,133,4582,231,215,1010,0,0
138,1,860,157,9,4,183,2799,3,1,5,33,3794,1902,1897,25502,39,33,1437,0,0
43,3,1582,201,4,5,86,4876,25,4,5,129,10196,2127,1590,1,1985,9612,8236,0,0
142,2,19,233,4,4,165,63,6,0,6,17,33,31,22,849,20,37,51,0,0
76,4,88,177,9,2,109,247,0,4,6,51,123,108,63,12524,308,4,488,0,0
43,0,12,163,9,3,49,21,5,1,6,13,67,42,38,253,24,33,38,0,0
95,2,7,353,6,2,209,61,1,1,7,29,124,26,17,1158,774,42,338,0,0
27,3,2252,39,5,5,46,7646,3,31,7,611,6586,3457,1743,121140,1346,3161,15552,0,0
16,0,0,110,4,1,35,5,0,26,7,3,4,4,1,91,21,0,82,0,0
35,0,18,216,4,3,52,32,1,1,0,3,3,28,6,177,0,0,79,1,0
118,9,3,83,4,3,736,21,1,8,0,11,8,14,9,387,43,0,77,1,0
40,0,9,289,7,4,49,27,1,0,0,10,10,18,14,246,30,3,35,1,0
21,0,0,99,6,3,27,4,2,5,0,5,3,7,5,124,2,1,20,1,0
30,0,5,125,7,5,75,64,6,2954,0,45,91,38,36,933,87,14,209,1,0
70,1,5,465,6,5,97,16,0,0,0,26,13,7,6,210,166,0,74,1,0
24,0,4,118,6,4,45,278,0,6,0,220,54,161,54,29212,419,40,3284,1,0
138,1,115,99,5,3,184,205,4,1,0,44,88,120,99,3434,912,77,367,1,0
94,12,98,254,9,5,199,469,0,10,0,233,200,243,17,20714,443,13,2159,1,0
65,9,0,69,12,4,135,13,0,6,0,42,26,14,3,806,187,14,133,1,0
44,4,4,34,5,2,72,11,2,1,1,7,16,21,20,79,6,0,17,1,0
49,4,10,128,3,3,57,53,0,37,1,35,16,31,27,888,148,3,107,1,0
79,0,25,670,5,2,99,77,1,74,1,59,80,65,48,2758,308,26,316,1,0
26,4,99,177,10,2,43,387,0,11,1,51,123,155,76,5472,44,17,305,1,0
10,0,0,71,4,1,30,225,2,7,1,235,368,131,50,12078,1830,113,1294,1,0
120,4,253,169,9,2,132,964,3,2,1,79,448,476,341,17663,2793,15,574,1,0
88,31,12,401,19,3,130,84,6,0,1,60,293,86,74,1351,686,90,371,1,0
35,0,0,102,8,4,43,2,0,11,1,7,10,2,0,31,3,0,19,1,0
102,2,1,190,6,4,196,148,2,0,1,37,54,72,71,4527,83,13,173,1,0
35,6,301,76,7,4,89,944,1,5,1,178,428,502,331,15652,214,101,1446,1,0
90,7,141,84,6,2,156,526,0,8,2,163,232,275,197,13311,668,4,1358,1,0
19,0,142,257,10,2,34,1935,0,4,2,74,2077,1329,672,18981,747,356,2270,1,0
50,4,32,246,3,1,83,155,6,1,2,37,169,128,83,2085,127,21,591,1,0
33,2,156,60,5,2,64,630,0,6,2,101,397,336,280,15691,193,26,698,1,0
15,3,0,769,11,4,22,47,2,2,2,61,218,49,17,1134,441,4,259,1,0
43,0,19,239,4,5,45,667,0,3,2,186,265,285,210,26957,1193,65,1860,1,0
28,5,42,129,8,3,82,202,0,2,2,44,82,119,67,3040,134,9,425,1,0
15,0,19,149,9,2,24,77,0,4,3,11,14,45,19,487,25,1,32,1,0
116,2,149,171,7,5,190,1179,3,0,4,70,915,533,399,17877,202,375,1306,1,0
47,0,38,483,4,3,64,418,4,6,4,66,425,230,204,8424,300,28,622,1,0
11,0,2,128,3,3,26,72,0,0,4,49,43,53,19,1850,42,17,467,1,0
96,0,4,200,5,5,104,8,1,0,5,6,6,9,4,69,0,0,18,1,0
112,5,624,192,10,3,144,5837,2,1,5,577,8424,2869,2527,171662,2817,7824,30236,1,0
171,3,2,231,4,3,175,26,0,0,5,16,23,38,38,262,38,0,56,1,0
97,1,184,257,9,4,103,1160,4,9,6,135,2028,810,620,14270,1930,492,1655,1,0
140,0,13465,241,4,2,161,28032,3,0,6,409,24404,14715,14714,372339,23131,0,47826,1,0
110,16,36,119,7,2,149,82,5,1,7,14,97,93,72,684,39,1,175,1,0
191,121,25,70,9,3,292,565,0,36,14,178,536,310,212,32853,1337,279,982,1,0
33,3,6,233,5,4,84,9,3,37,2,3,6,5,0,94,41,0,35,0,1
23,0,4,119,8,3,39,7,0,5,1,3,5,5,2,156,14,0,11,1,1
11,0,0,93,5,3,31,3,1,8,0,3,3,5,2,26,9,0,5,1,1
19,3,6,14,5,3,138,16,2,33,0,3,2,6,0,91,4,0,59,1,1
91,0,5,236,4,3,114,9,0,1,0,3,6,6,3,86,4,0,9,0,1
92,3,3,431,9,2,116,9,2,0,1,3,6,7,6,64,2,0,15,0,1
33,2,5,57,4,2,63,11,0,2,1,3,2,7,3,120,6,0,13,1,1
39,5,5,576,14,5,63,6,0,0,0,3,1,8,2,27,2,0,5,0,1
20,1,7,372,6,4,40,13,1,0,2,3,2,9,6,96,7,0,10,0,1
21,2,3,68,4,2,36,20,0,13,0,3,1,9,3,81,4,0,5,0,1
19,1,3,30,6,3,40,9,4,1,0,3,1,10,4,66,6,0,1,0,1
